InformationDate,Table01
2023-01-31,"
    In general, the fuel rates for the month of January remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2023-02-28,"
    Comprehensively, the fuel prices for the month of February remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2023-03-31,"
    In summary, the fuel costs for the month of March remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2023-04-30,"
    Taking everything into account, the fuel prices for the month of April remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2023-05-31,"
    In essence, the fuel rates for the month of May remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2023-06-30,"
    Overall, the fuel costs for the month of June remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2023-07-31,"
    In a nutshell, the fuel costs for the month of July remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2023-08-31,"
    Considering all factors, the fuel rates for the month of August remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2023-09-30,"
    In review, the fuel costs for the month of September remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2023-10-31,"
    Upon examination, the fuel prices for the month of October increased in Petrol as per the table above. The Petrol price is set to increased by 0.05 cents, up to R 20.0 per litre.

    The economic factors affecting the unit over/under recovery include:

    • Inflation increased by 0.5%
    "
2023-11-30,"
    Reflecting on the data, the fuel rates for the month of November decreased in diesel as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • Inflation decreased by 0.2%
    "
2023-12-31,"
    After careful analysis, the fuel prices for the month of December remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-01-31,"
    In general, the fuel rates for the month of January remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-02-29,"
    Comprehensively, the fuel prices for the month of February remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-03-31,"
    In summary, the fuel costs for the month of March remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-04-30,"
    Taking everything into account, the fuel prices for the month of April remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-05-31,"
    In essence, the fuel rates for the month of May remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-06-30,"
    Overall, the fuel costs for the month of June remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-07-31,"
    In a nutshell, the fuel costs for the month of July remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-08-31,"
    Considering all factors, the fuel rates for the month of August remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-09-30,"
    In review, the fuel costs for the month of September remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-10-31,"
    Upon examination, the fuel prices for the month of October remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-11-30,"
    Reflecting on the data, the fuel rates for the month of November remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2024-12-31,"
    After careful analysis, the fuel prices for the month of December remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2025-01-31,"
    In general, the fuel rates for the month of January remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
2025-02-28,"
    Comprehensively, the fuel prices for the month of February remained unchanged as per the table above. The Petrol price information is not available.

    The economic factors affecting the unit over/under recovery include:

    • No CPI data available
    "
